toponym_mention_id	toponym	GeoNarrative	PlaceID
BTJLMT1	שרקוסטה	1	K6347
BTJLMT2	איברו	1	GN3123754
BTJLMT3	טורטוסה	1	K9805
BTJLMT4	טרבונה	1	K7559
BTJLMT5	ספרד	1	K6471
BTJLMT6	ברזילונה	1	K582
BTJLMT7	יון	1	K8822
BTJLMT8	פישה	1	K251
BTJLMT9	גיינובה	1	K877
BTJLMT10	סיסיליא	1	K6284
BTJLMT11	אליכסאכרה	1	K667
BTJLMT12	מצרים	1	K8046
BTJLMT13	ארץ ישראל	1	K2501
BTJLMT14	גירונה	1	K8720
BTJLMT15	נירבונה	1	K10031
BTJLMT16	בידרש	1	K7195
BTJLMT17	הר געש	1	K7467
BTJLMT18	מונפישלייר	1	K7467
BTJLMT19	אלעדוה	1	K7951
BTJLMT20	למוברדיאה	1	K10968
BTJLMT21	רומה רבתא	1	K7637
BTJLMT22	מצרים	1	K8046
BTJLMT23	ארץ ישראל	1	K2501
BTJLMT24	יון	1	K8822
BTJLMT25	צרפת	1	K6399
BTJLMT26	ספרד	1	K6471
BTJLMT27	אינגילטירה	1	K12708
BTJLMT28	לוניל	1	K12204
BTJLMT29	פורייקיירש	1	K7808
BTJLMT30	נוגרש	1	K10262
BTJLMT31	בורקרשאלגיל	1	K10262
BTJLMT32	רודי	1	K2047
BTJLMT33	פרובינצא	1	K8962
BTJLMT34	אליש	1	K7224
BTJLMT35	מרסיליא	1	K7085
BTJLMT36	גיינובא	2	K877
BTJLMT37	סבתה	2	K8782
BTJLMT38	גיינובא	2	K877
BTJLMT39	פיסה	2	K251
BTJLMT40	פיסה	2	K251
BTJLMT41	לוקה	2	K6491
BTJLMT42	רומי רבתא	2	K440
BTJLMT43	קוסטאנטינופילו	3	K6927
BTJLMT44	קאפואה	4	K6800
BTJLMT45	פיצולו	4	K9790
BTJLMT46	סיריינטו	4	K9809
BTJLMT47	לומברדיאה	4	K10968
BTJLMT48	רומי	4	K440
BTJLMT49	נאפולי	4	K673
BTJLMT50	סלירפה	4	K6373
BTJLMT51	צפונת	4	K7024
BTJLMT52	מלאלפי	4	K6262
BTJLMT53	ביניווינטו	4	K6449
BTJLMT54	מלפי	4	K12281
BTJLMT55	פוליא	4	K7555
BTJLMT56	ארץ פול	4	K7555
BTJLMT57	אסקולי	4	GN3182747
BTJLMT58	טראני	4	K7879
BTJLMT59	ירושלם	4	K691
BTJLMT60	מיקולסדבר	4	K7504
BTJLMT61	ציקיליא'	4	K6284
BTJLMT62	טראטו	4	K8176
BTJLMT63	קלאבריא'	4	K7660
BTJLMT64	נרניס	4	K11068
BTJLMT65	אורנארו	5	K7029
BTJLMT66	יון	5	K8822
BTJLMT67	אוקרופוס	5	K1039
BTJLMT68	לבאנטה	5	K20954
BTJLMT69	נאטוליקץ	5	GN265507
BTJLMT70	אקילץ	5	U1
BTJLMT71	פאטרה	5	K12768
BTJLMT72	לופאנטי	5	K21742
BTJLMT73	קורש	5	GN259862
BTJLMT74	פורש	5	GN255730
BTJLMT75	קורונאטי	5	GN259289
BTJLMT76	טיוכס	5	K14830
BTJLMT77	ארגריפו	5	K14277
BTJLMT78	יבוסטריסו	5	GN258577
BTJLMT79	רווינגו	5	GN261211
BTJLMT80	שינץ פיטימון	5	GN258620
BTJLMT81	בילקאייה	5	K9259
BTJLMT82	יון	5	K8822
BTJLMT83	גרריקו	5	GN255638
BTJLMT84	ארמילו	5	BJ5
BTJLMT85	מישינה	5	BJ9
BTJLMT86	סיאלוסקי	5	K103
BTJLMT87	מטריסי	5	GN736795
BTJLMT88	רראמה	5	K14269
BTJLMT89	קניסטולי	5	GN735861
BTJLMT90	אבירו	5	K4579
BTJLMT91	קוסטאנטינו	5	K6927
BTJLMT92	יון	5	K8822
BTJLMT93	קוסטאנטינה	5	K6927
BTJLMT94	קוסטאנטינה	5	K6927
BTJLMT95	בבל	5	U4
BTJLMT96	שנער	5	Q1404297
BTJLMT97	מדי	5	K22613
BTJLMT98	פרס	5	K7639
BTJLMT99	מצרים	5	K8046
BTJLMT100	רושיא	5	U6
BTJLMT101	אונגריא'	5	Q171150
BTJLMT102	פסינגי	5	U2
BTJLMT103	בוריא'	5	U3
BTJLMT104	לומברדיא'	5	K10968
BTJLMT105	ספרד	5	K6471
BTJLMT106	בגדד	5	K662
BTJLMT107	בילוויראנוס	5	Q1472490
BTJLMT108	יון	5	K8822
BTJLMT109	ים סופיא'	5	U7
BTJLMT110	פירא.	5	K7544
