id	url	geotype	lat	lng
K6347	http://geo-kima.org/Place/6347	point	41.65606	-0.87734
GN3123754	https://www.geonames.org/3123754/	line		
K9805	http://geo-kima.org/place/9805	point	40.815111	0.523778
K7559	http://geo-kima.org/place/7559	point	41.119196	1.258058
K6471	http://geo-kima.org/place/6471	polygon		
K582	http://geo-kima.org/place/582	point	41.384106	2.175422
K251	http://geo-kima.org/place/251	point	43.719417	10.400106
K877	http://geo-kima.org/place/877	point	44.40766	8.93151
K667	http://geo-kima.org/place/667	point	31.195371	29.904133
K2501	http://geo-kima.org/place/2501	polygon		
K8720	http://geo-kima.org/place/8720	point	41.98311	2.82493
K10031	http://geo-kima.org/place/10031	point	43.184722	3.003611
K7195	http://geo-kima.org/place/7195	point	43.339552	3.214097
K7467	http://geo-kima.org/place/7467	point	43.608176	3.8794455
K7951	http://geo-kima.org/place/7951	polygon		
K10968	http://geo-kima.org/place/10968	polygon		
K7637	http://geo-kima.org/place/7637	polygon		
K6399	http://geo-kima.org/place/6399	polygon		
K12708	http://geo-kima.org/place/12708	polygon		
K12204	http://geo-kima.org/place/12204	point	43.67778	4.13611
K7808	http://geo-kima.org/place/7808	point	43.6942	4.2769
K10262	http://geo-kima.org/place/10262	point	43.6786	4.4317
K2047	http://geo-kima.org/place/2047	line		
K8962	http://geo-kima.org/place/8962	polygon		
K7224	http://geo-kima.org/place/7224	point	43.676944	4.628611
K7085	http://geo-kima.org/place/7085	point	43.299467	5.365307
K8782	http://geo-kima.org/place/8782	point	35.9000363	-5.4164103
K6491	http://geo-kima.org/place/6491	point	43.840677	10.50602
K6800	http://geo-kima.org/place/6800	point	41.1061258	14.2130486
K9790	http://geo-kima.org/place/9790	point	40.84394	14.0952
K9809	http://geo-kima.org/place/9809	point	40.624604	14.365806
K440	http://geo-kima.org/place/440	point	41.89262	12.4843457
K673	http://geo-kima.org/place/673	point	40.829595	14.21755
K6373	http://geo-kima.org/place/6373	point	40.6779567	14.7659122
K7024	http://geo-kima.org/place/7024	point	41.6084823	15.8897665
K6262	http://geo-kima.org/place/6262	point	40.63443	14.60318
K6449	http://geo-kima.org/place/6449	point	41.13155	14.77433
K12281	http://geo-kima.org/place/12281	point	40.99571	15.65578
K7555	http://geo-kima.org/place/7555	polygon	41.25	15.75
GN3182747	https://www.geonames.org/3182747	point	42.8554	13.57495
K7879	http://geo-kima.org/place/7879	point	41.27733	16.41011
K691	http://geo-kima.org/place/691	point	31.776667	35.234167
K7504	http://geo-kima.org/Places/7504	point	41.13031	16.87014
K6284	http://geo-kima.org/place/6284	polygon	37.53667612	14.08648465
K8176	http://geo-kima.org/place/8176	point	40.476034	17.228553
K7660	http://geo-kima.org/place/7660	polygon	40.75	17.75
K11068	http://geo-kima.org/place/11068	point	40.641136	17.946867
K7029	http://geo-kima.org/place/7029	point	40.145948	18.490953
K1039	http://geo-kima.org/Places/1039	point	39.60733	19.92178
K20954	http://geo-kima.org/Place/20954	point	39.159	20.985
GN265507	https://www.geonames.org/265507	point	40.66152	22.7119
U1		point		
K12768	http://geo-kima.org/place/12768	point	38.243265	21.738518
K21742	http://geo-kima.org/Places/Details?id=21742	point	38.39167	21.8275
GN259862	https://www.geonames.org/259862	point	38.4753859	22.4689446
GN255730	https://www.geonames.org/255730	point	38.53528	22.62188
GN259289	https://www.geonames.org/259289	point	37.906045	22.878721
K14830	http://geo-kima.org/place/14830	point	38.318092	23.255096
K8822	http://geo-kima.org/place/8822	polygon	39.04697922	22.97947876
K6927	http://geo-kima.org/place/6927	point	41.012379	28.975926
K14277	http://data.geo-kima.org/14277	point	38.464	23.602
GN258577	https://www.geonames.org/258577	point	38.567348	23.281349
GN261211	https://www.geonames.org/261211	point	38.77844	22.78573
GN258620	https://www.geonames.org/258620	point	38.9	22.43333
K9259	http://geo-kima.org/place/9259	polygon		
GN255638	https://www.geonames.org/255638	point	38.94813	22.8398
BJ5	http://www.byzantinejewry.net/applications/mjcb/show_evidence_details.php?evidence_id=5	point	39.183	22.759
BJ9	http://www.byzantinejewry.net/applications/mjcb/show_evidence_details.php?evidence_id=9	point	39.687	22.725
K103	http://geo-kima.org/place/103	point	40.64361	22.93086
GN736795	https://www.geonames.org/736795	point	41.07041	23.46064
K14269	http://geo-kima.org/place/14269	point	41.15283	24.1473
GN735861	https://www.geonames.org/735861	point	40.93959	24.40687
K4579	http://geo-kima.org/place/4579	point	40.19406	26.41122
U4		polygon		
Q1404297	https://www.wikidata.org/wiki/Q1404297	polygon		
K22613	http://geo-kima.org/place/22613	polygon	34.5	46.5
K7639	http://geo-kima.org/Places/Details?id=7639	polygon		
K8046	http://geo-kima.org/place/8046	polygon	19.21140877	30.56732963
U6		polygon		
