toponym-index	toponym_id	Toponym mention @Asher	incident - xpath_location	GeoNarrative	seq_number	PlaceID	Toponym mention @Asher(2)	Ed Constantinople	Ms Casanatense	Ms_Epstein	Ms_London	interMSSindex	Adler_translation	inAdlerXML
1	BTAsherT1	שרקושטה	/TEI[1]/text[1]/body[1]/ab[1]/seg[1]/placeName[1]	1	1	K6347	שרקושטה	שרקושטה	סרקוסטא	שרקוסטה	סרקסטא	198	Saragossa	5508cf84-4012-4a87-a619-3f0de18e71b8
2	BTAsherT2	איברו	/TEI[1]/text[1]/body[1]/ab[1]/seg[1]/placeName[2]	1	2	GN3123754	איברו	איברו	איברי	איברו	אברו	202	Ebro	f3b5be3a-d5f5-49e7-a9d9-cbc73236af30
3	BTAsherT3	טורטושה	/TEI[1]/text[1]/body[1]/ab[1]/seg[1]/placeName[3]	1	3	K9805	טורטושה	טורטושה	ל??זורה	טורטוסה	טרטושא	203	Tortosa	07b921d9-c162-426f-911d-400ec6417756
4	BTAsherT4	טרכונה	/TEI[1]/text[1]/body[1]/ab[1]/seg[2]/placeName[1]	1	4	K7559	טרכונה	טרבונה	נירגונה	טרבונה	תרכונה	210	Tarragona	503791b6-22e3-409b-8ec1-6fc9c597edfb
5	BTAsherT5	ספרד	/TEI[1]/text[1]/body[1]/ab[1]/seg[2]/placeName[2]	1		K6471	ספרד	ספרד	ספרד	ספרד	ספרד	224	Sepharad	68588574-7507-43b3-9bd6-22401742dfba
6	BTAsherT6	ברצלונה	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[1]	1	5	K582	ברצלונה	ברצלונה	ברצלונה	ברזילונה	ברצלונה	233	Barcelona	271d5bf3-d89e-4bdd-9325-fdaf9c649777
7	BTAsherT7	יון	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[2]	1		K8822	יון	יון	יון	יון	יוון	272	Greece	ad9247d8-9a82-4999-b8b1-5ac87a5c72bd
8	BTAsherT8	פישה	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[3]	1		K251	פישה	פישה	פיסא	פישה		273	Pisa	a34bd917-cef3-4bf1-a374-36ca555f681a
9	BTAsherT9	גינואה	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[4]	1		K877	גינואה	גינואה	יינובא	גיינובה		274	Genoa	37260d63-c1c7-45a4-adc7-ba73808f79c4
10	BTAsherT10	סיסילייא	/TEI[1]/text[1]/body[1]/ab[1]/seg[3]/placeName[5]	1		K6284	ציקיליה	סיסילייא	סיציליאה	סיסיליא	צקיליה	275	Sicily	089917ec-7cde-4771-96e9-1a2a2acbd413
