toponym_mention_id	parallel@Asher
BTAdlerT1	BTAsherT1
BTAdlerT2	BTAsherT2
BTAdlerT3	BTAsherT3
BTAdlerT4	BTAsherT4
BTAdlerT5	BTAsherT5
BTAdlerT6	BTAsherT6
BTAdlerT7	BTAsherT7
BTAdlerT8	BTAsherT8
BTAdlerT9	BTAsherT9
BTAdlerT10	BTAsherT10
BTAdlerT11	BTAsherT11
BTAdlerT12	BTAsherT12
BTAdlerT13	BTAsherT13
BTAdlerT14	BTAsherT14
BTAdlerT15	BTAsherT15
BTAdlerT16	BTAsherT16
BTAdlerT17	BTAsherT18
BTAdlerT18	BTAsherT19
BTAdlerT19	BTAsherT20
BTAdlerT20	BTAsherT21
BTAdlerT21	BTAsherT22
BTAdlerT22	BTAsherT23
BTAdlerT23	BTAsherT24
BTAdlerT24	BTAsherT25
BTAdlerT25	BTAsherT27
BTAdlerT26	BTAsherT28
BTAdlerT27	BTAsherT29
BTAdlerT28	BTAsherT31
BTAdlerT29	BTAsherT32
BTAdlerT30	BTAsherT33
BTAdlerT31	BTAsherT34
BTAdlerT32	BTAsherT35
BTAdlerT33	BTAsherT36
BTAdlerT34	BTAsherT37
BTAdlerT35	BTAsherT38
BTAdlerT36	BTAsherT39
BTAdlerT37	BTAsherT40
BTAdlerT38	BTAsherT41
BTAdlerT39	BTAsherT42
BTAdlerT40	BTAsherT44
BTAdlerT41	BTAsherT45
BTAdlerT42	BTAsherT46
BTAdlerT43	BTAsherT47
BTAdlerT44	BTAsherT48
BTAdlerT45	BTAsherT49
BTAdlerT46	BTAsherT50
BTAdlerT47	BTAsherT51
BTAdlerT48	BTAsherT52
BTAdlerT49	BTAsherT53
BTAdlerT50	BTAsherT54
BTAdlerT51	BTAsherT55
BTAdlerT52	BTAsherT57
BTAdlerT53	BTAsherT58
BTAdlerT54	BTAsherT59
BTAdlerT55	BTAsherT60
BTAdlerT56	BTAsherT61
BTAdlerT57	BTAsherT62
BTAdlerT58	BTAsherT63
BTAdlerT59	BTAsherT64
BTAdlerT60	BTAsherT65
BTAdlerT61	BTAsherT67
BTAdlerT62	BTAsherT68
BTAdlerT63	BTAsherT69
BTAdlerT64	BTAsherT70
BTAdlerT65	BTAsherT71
BTAdlerT66	BTAsherT72
BTAdlerT67	BTAsherT73
BTAdlerT68	BTAsherT75
BTAdlerT69	BTAsherT76
BTAdlerT70	BTAsherT77
BTAdlerT71	BTAsherT78
BTAdlerT72	BTAsherT79
BTAdlerT73	BTAsherT80
BTAdlerT74	BTAsherT81
BTAdlerT75	BTAsherT82
BTAdlerT76	BTAsherT83
BTAdlerT77	BTAsherT84
BTAdlerT78	BTAsherT85
BTAdlerT79	BTAsherT86
BTAdlerT80	BTAsherT87
BTAdlerT81	BTAsherT88
BTAdlerT82	BTAsherT89
BTAdlerT83	BTAsherT90
BTAdlerT84	BTAsherT91
BTAdlerT85	BTAsherT92
BTAdlerT86	BTAsherT93
BTAdlerT87	BTAsherT94
BTAdlerT88	BTAsherT95
BTAdlerT89	BTAsherT96
BTAdlerT90	BTAsherT97
BTAdlerT91	BTAsherT98
BTAdlerT92	BTAsherT99
BTAdlerT93	BTAsherT100
BTAdlerT94	BTAsherT101
BTAdlerT95	BTAsherT102
BTAdlerT96	BTAsherT103
BTAdlerT97	BTAsherT104
BTAdlerT98	BTAsherT105
BTAdlerT99	BTAsherT106
BTAdlerT100	BTAsherT107
BTAdlerT101	BTAsherT108
BTAdlerT102	BTAsherT109
BTAdlerT103	BTAsherT110
BTAdlerT104	BTAsherT111
BTAdlerT105	BTAsherT112
BTAdlerT106	BTAsherT113
BTAdlerT107	BTAsherT114
BTAdlerT108	BTAsherT115
BTAdlerT109	BTAsherT116
BTAdlerT110	BTAsherT117
BTAdlerT111	BTAsherT118
BTAdlerT112	BTAsherT119
BTAdlerT113	BTAsherT120
BTAdlerT114	BTAsherT121
BTAdlerT115	BTAsherT122
BTAdlerT116	BTAsherT123
BTAdlerT117	BTAsherT124
BTAdlerT118	BTAsherT125
BTAdlerT119	BTAsherT126
BTAdlerT120	BTAsherT127
BTAdlerT121	BTAsherT128
BTAdlerT122	BTAsherT129
BTAdlerT123	BTAsherT130
BTAdlerT124	BTAsherT131
BTAdlerT125	BTAsherT132
BTAdlerT126	BTAsherT133
BTAdlerT127	BTAsherT134
BTAdlerT128	BTAsherT135
BTAdlerT129	BTAsherT136
BTAdlerT130	BTAsherT137
BTAdlerT131	BTAsherT138
BTAdlerT132	BTAsherT139
BTAdlerT133	BTAsherT140
BTAdlerT134	BTAsherT141
BTAdlerT135	BTAsherT142
BTAdlerT136	BTAsherT143
BTAdlerT137	BTAsherT144
BTAdlerT138	BTAsherT145
BTAdlerT139	BTAsherT146
BTAdlerT140	BTAsherT147
BTAdlerT141	
BTAdlerT142	
BTAdlerT143	BTAsherT148
BTAdlerT144	BTAsherT149
BTAdlerT145	BTAsherT150
BTAdlerT146	BTAsherT151
BTAdlerT147	BTAsherT152
BTAdlerT148	BTAsherT154
BTAdlerT149	BTAsherT155
BTAdlerT150	BTAsherT156
BTAdlerT151	BTAsherT158
BTJLMT1	BTAsherT1
BTJLMT2	BTAsherT2
BTJLMT3	BTAsherT3
BTJLMT4	BTAsherT4
BTJLMT5	BTAsherT5
BTJLMT6	BTAsherT6
BTJLMT7	BTAsherT7
BTJLMT8	BTAsherT8
BTJLMT9	BTAsherT9
BTJLMT10	BTAsherT10
BTJLMT11	BTAsherT11
BTJLMT12	BTAsherT12
BTJLMT13	BTAsherT13
BTJLMT14	BTAsherT14
BTJLMT15	BTAsherT15
BTJLMT16	BTAsherT16
BTJLMT17	BTAsherT17
BTJLMT18	BTAsherT18
BTJLMT19	BTAsherT19
BTJLMT20	BTAsherT20
BTJLMT21	BTAsherT21
BTJLMT22	BTAsherT22
BTJLMT23	BTAsherT23
BTJLMT24	BTAsherT24
BTJLMT25	BTAsherT25
BTJLMT26	BTAsherT26
BTJLMT27	BTAsherT27
BTJLMT28	BTAsherT28
BTJLMT29	BTAsherT29
BTJLMT30	BTAsherT30
BTJLMT31	BTAsherT31
BTJLMT32	BTAsherT32
BTJLMT33	BTAsherT33
BTJLMT34	BTAsherT34
BTJLMT35	BTAsherT35
BTJLMT36	BTAsherT36
BTJLMT37	BTAsherT37
BTJLMT38	BTAsherT38
BTJLMT39	BTAsherT39
BTJLMT40	BTAsherT40
BTJLMT41	BTAsherT41
BTJLMT42	BTAsherT42
BTJLMT43	BTAsherT43
BTJLMT44	BTAsherT44
BTJLMT45	BTAsherT45
BTJLMT46	BTAsherT46
BTJLMT47	BTAsherT47
BTJLMT48	BTAsherT48
BTJLMT49	BTAsherT49
BTJLMT50	BTAsherT50
BTJLMT51	BTAsherT51
BTJLMT52	BTAsherT52
BTJLMT53	BTAsherT53
BTJLMT54	BTAsherT54
BTJLMT55	BTAsherT55
BTJLMT56	BTAsherT56
BTJLMT57	BTAsherT57
BTJLMT58	BTAsherT58
BTJLMT59	BTAsherT59
BTJLMT60	BTAsherT60
BTJLMT61	BTAsherT61
BTJLMT62	BTAsherT62
BTJLMT63	BTAsherT63
BTJLMT64	BTAsherT64
BTJLMT65	BTAsherT65
BTJLMT66	BTAsherT66
BTJLMT67	BTAsherT67
BTJLMT68	BTAsherT68
BTJLMT69	BTAsherT69
BTJLMT70	BTAsherT70
BTJLMT71	BTAsherT71
BTJLMT72	BTAsherT72
BTJLMT73	BTAsherT73
BTJLMT74	BTAsherT74
BTJLMT75	BTAsherT75
BTJLMT76	BTAsherT76
BTJLMT77	BTAsherT79
BTJLMT78	BTAsherT80
BTJLMT79	BTAsherT81
BTJLMT80	BTAsherT82
BTJLMT81	BTAsherT83
BTJLMT82	BTAsherT84
BTJLMT83	BTAsherT85
BTJLMT84	BTAsherT86
BTJLMT85	BTAsherT87
BTJLMT86	BTAsherT88
BTJLMT87	BTAsherT89
BTJLMT88	BTAsherT90
BTJLMT89	BTAsherT91
BTJLMT90	BTAsherT92
BTJLMT91	BTAsherT93
BTJLMT92	BTAsherT94
BTJLMT93	BTAsherT95
BTJLMT94	BTAsherT96
BTJLMT95	BTAsherT97
BTJLMT96	BTAsherT98
BTJLMT97	BTAsherT99
BTJLMT98	BTAsherT100
BTJLMT99	BTAsherT101
BTJLMT100	BTAsherT102
BTJLMT101	BTAsherT103
BTJLMT102	BTAsherT104
BTJLMT103	BTAsherT105
BTJLMT104	BTAsherT106
BTJLMT105	BTAsherT107
BTJLMT106	BTAsherT108
BTJLMT107	BTAsherT109
BTJLMT108	BTAsherT110
BTJLMT109	BTAsherT111
BTJLMT110	BTAsherT112
BTJLMT111	BTAsherT113
BTJLMT112	BTAsherT114
BTJLMT113	BTAsherT115
BTJLMT114	BTAsherT116
BTJLMT115	BTAsherT119
BTJLMT116	BTAsherT120
BTJLMT117	BTAsherT121
BTJLMT118	BTAsherT122
BTJLMT119	BTAsherT123
BTJLMT120	BTAsherT124
BTJLMT121	BTAsherT125
BTJLMT122	BTAsherT126
BTJLMT123	BTAsherT127
BTJLMT124	BTAsherT128
BTJLMT125	BTAsherT129
BTJLMT126	BTAsherT130
BTJLMT127	BTAsherT131
BTJLMT128	BTAsherT132
BTJLMT129	BTAsherT133
BTJLMT130	BTAsherT134
BTJLMT131	BTAsherT135
BTJLMT132	BTAsherT136
BTJLMT133	BTAsherT138
BTJLMT134	BTAsherT139
BTJLMT135	BTAsherT140
BTJLMT136	BTAsherT141
BTJLMT137	BTAsherT142
BTJLMT138	BTAsherT143
BTJLMT139	BTAsherT144
BTJLMT140	BTAsherT145
BTJLMT141	BTAsherT146
BTJLMT142	BTAsherT147
BTJLMT143	BTAsherT148
BTJLMT144	BTAsherT149
BTJLMT145	BTAsherT150
BTJLMT146	BTAsherT151
BTJLMT147	BTAsherT152
BTJLMT148	BTAsherT153
BTJLMT149	BTAsherT154
BTJLMT150	BTAsherT155
BTJLMT151	BTAsherT156
BTJLMT152	BTAsherT157
BTJLMT153	BTAsherT158
BTJLMT154	BTAsherT159
BTJLMT155	BTAsherT160
	BTAsherT1
	BTAsherT2
	BTAsherT3
	BTAsherT4
	BTAsherT5
	BTAsherT6
	BTAsherT7
	BTAsherT8
	BTAsherT9
	BTAsherT10
	BTAsherT11
	BTAsherT12
	BTAsherT13
	BTAsherT14
	BTAsherT15
	BTAsherT16
	BTAsherT17
	BTAsherT18
	BTAsherT20
	BTAsherT21
	BTAsherT28
	BTAsherT30
	BTAsherT31
	BTAsherT32
	BTAsherT33
	BTAsherT35
	BTAsherT36
	BTAsherT37
	BTAsherT38
	BTAsherT39
	BTAsherT40
	BTAsherT41
	BTAsherT42
	BTAsherT43
	BTAsherT44
	BTAsherT45
	BTAsherT46
