Toponym mention @Asher	url	id	geotype	lat	lng
שרקושטה	http://geo-kima.org/Place/6347	K6347	point	41.65606	-0.87734
איברו	https://www.geonames.org/3123754/	GN3123754	line		
טורטושה	http://geo-kima.org/place/9805	K9805	point	40.815111	0.523778
טרכונה	http://geo-kima.org/place/7559	K7559	point	41.119196	1.258058
ספרד	http://geo-kima.org/place/6471	K6471	polygon		
ברצלונה	http://geo-kima.org/place/582	K582	point	41.384106	2.175422
פישה	http://geo-kima.org/place/251	K251	point	43.719417	10.400106
גינואה	http://geo-kima.org/place/877	K877	point	44.40766	8.93151
אלכסנדריה	http://geo-kima.org/place/667	K667	point	31.195371	29.904133
ארץ ישראל	http://geo-kima.org/place/2501	K2501	polygon		
גירונדה	http://geo-kima.org/place/8720	K8720	point	41.98311	2.82493
נרבונה	http://geo-kima.org/place/10031	K10031	point	43.184722	3.003611
בידרש	http://geo-kima.org/place/7195	K7195	point	43.339552	3.214097
מונפישלייר	http://geo-kima.org/place/7467	K7467	point	43.608176	3.8794455
אל-ערוה	http://geo-kima.org/place/7951	K7951	polygon		
לונברדייא	http://geo-kima.org/place/10968	K10968	polygon		
רומא רבתא	http://geo-kima.org/place/7637	K7637	polygon		
צרפת	http://geo-kima.org/place/6399	K6399	polygon		
אינגלטירה	http://geo-kima.org/place/12708	K12708	polygon		
לוניל	http://geo-kima.org/place/12204	K12204	point	43.67778	4.13611
פותייקיירש	http://geo-kima.org/place/7808	K7808	point	43.6942	4.2769
בורק דשל גיל	http://geo-kima.org/place/10262	K10262	point	43.6786	4.4317
רודי	http://geo-kima.org/place/2047	K2047	line		
פרובנצה	http://geo-kima.org/place/8962	K8962	polygon		
ארליט	http://geo-kima.org/place/7224	K7224	point	43.676944	4.628611
מרשילייה	http://geo-kima.org/place/7085	K7085	point	43.299467	5.365307
סבתה	http://geo-kima.org/place/8782	K8782	point	35.9000363	-5.4164103
לוקא	http://geo-kima.org/place/6491	K6491	point	43.840677	10.50602
קפואה	http://geo-kima.org/place/6800	K6800	point	41.1061258	14.2130486
פוצול	http://geo-kima.org/place/9790	K9790	point	40.84394	14.0952
סוריינטו	http://geo-kima.org/place/9809	K9809	point	40.624604	14.365806
רומא	http://geo-kima.org/place/440	K440	point	41.89262	12.4843457
נאפולי	http://geo-kima.org/place/673	K673	point	40.829595	14.21755
שלירנה	http://geo-kima.org/place/6373	K6373	point	40.6779567	14.7659122
ציפונת	http://geo-kima.org/place/7024	K7024	point	41.6084823	15.8897665
אמלפי	http://geo-kima.org/place/6262	K6262	point	40.63443	14.60318
בינאבינטו	http://geo-kima.org/place/6449	K6449	point	41.13155	14.77433
מלפי	http://geo-kima.org/place/12281	K12281	point	40.99571	15.65578
ארץ פול	http://geo-kima.org/place/7555	K7555	polygon	41.25	15.75
אשקולי	https://www.geonames.org/3182747	GN3182747	point	42.8554	13.57495
טרנאה	http://geo-kima.org/place/7879	K7879	point	41.27733	16.41011
ירושלים	http://geo-kima.org/place/691	K691	point	31.776667	35.234167
מיקילס דבר	http://geo-kima.org/Places/7504	K7504	point	41.13031	16.87014
ציקיליה	http://geo-kima.org/place/6284	K6284	polygon	37.53667612	14.08648465
טראנטו	http://geo-kima.org/place/8176	K8176	point	40.476034	17.228553
קלאבריאה	http://geo-kima.org/place/7660	K7660	polygon	40.75	17.75
ברנדישי	http://geo-kima.org/place/11068	K11068	point	40.641136	17.946867
אוטרנדו	http://geo-kima.org/place/7029	K7029	point	40.145948	18.490953
קרופוס	http://geo-kima.org/Places/1039	K1039	point	39.60733	19.92178
לבטה	http://geo-kima.org/Place/20954	K20954	point	39.159	20.985
נטוליקון	https://www.geonames.org/265507	GN265507	point	40.66152	22.7119
אכילון		U1	point		
פטרה	http://geo-kima.org/place/12768	K12768	point	38.243265	21.738518
