urn:cts:TraveLab:BT:en:Adler:token:1.1	These
urn:cts:TraveLab:BT:en:Adler:token:1.2	are
urn:cts:TraveLab:BT:en:Adler:token:1.3	the
urn:cts:TraveLab:BT:en:Adler:token:1.4	travels
urn:cts:TraveLab:BT:en:Adler:token:1.5	undertaken
urn:cts:TraveLab:BT:en:Adler:token:1.6	by
urn:cts:TraveLab:BT:en:Adler:token:1.7	Rabbi
urn:cts:TraveLab:BT:en:Adler:token:1.8	Petachia
urn:cts:TraveLab:BT:en:Adler:token:1.9	,
urn:cts:TraveLab:BT:en:Adler:token:1.10	who
urn:cts:TraveLab:BT:en:Adler:token:1.11	travelled
urn:cts:TraveLab:BT:en:Adler:token:1.12	through
urn:cts:TraveLab:BT:en:Adler:token:1.13	all
urn:cts:TraveLab:BT:en:Adler:token:1.14	the
urn:cts:TraveLab:BT:en:Adler:token:1.15	countries
urn:cts:TraveLab:BT:en:Adler:token:1.16	.
urn:cts:TraveLab:BT:en:Adler:token:2.1	He
urn:cts:TraveLab:BT:en:Adler:token:2.2	set
urn:cts:TraveLab:BT:en:Adler:token:2.3	out
urn:cts:TraveLab:BT:en:Adler:token:2.4	from
urn:cts:TraveLab:BT:en:Adler:token:2.5	Prague
urn:cts:TraveLab:BT:en:Adler:token:2.6	,
urn:cts:TraveLab:BT:en:Adler:token:2.7	which
urn:cts:TraveLab:BT:en:Adler:token:2.8	is
urn:cts:TraveLab:BT:en:Adler:token:2.9	in
urn:cts:TraveLab:BT:en:Adler:token:2.10	Bohemia
urn:cts:TraveLab:BT:en:Adler:token:2.11	,
urn:cts:TraveLab:BT:en:Adler:token:2.12	going
urn:cts:TraveLab:BT:en:Adler:token:2.13	to
urn:cts:TraveLab:BT:en:Adler:token:2.14	Poland
urn:cts:TraveLab:BT:en:Adler:token:2.15	,
urn:cts:TraveLab:BT:en:Adler:token:2.16	from
urn:cts:TraveLab:BT:en:Adler:token:2.17	Poland
urn:cts:TraveLab:BT:en:Adler:token:2.18	to
urn:cts:TraveLab:BT:en:Adler:token:2.19	Kieff
urn:cts:TraveLab:BT:en:Adler:token:2.20	in
urn:cts:TraveLab:BT:en:Adler:token:2.21	Russia
urn:cts:TraveLab:BT:en:Adler:token:2.22	,
urn:cts:TraveLab:BT:en:Adler:token:2.23	and
urn:cts:TraveLab:BT:en:Adler:token:2.24	from
urn:cts:TraveLab:BT:en:Adler:token:2.25	Russia
urn:cts:TraveLab:BT:en:Adler:token:2.26	he
urn:cts:TraveLab:BT:en:Adler:token:2.27	went
urn:cts:TraveLab:BT:en:Adler:token:2.28	in
urn:cts:TraveLab:BT:en:Adler:token:2.29	six
urn:cts:TraveLab:BT:en:Adler:token:2.30	days
urn:cts:TraveLab:BT:en:Adler:token:2.31	to
urn:cts:TraveLab:BT:en:Adler:token:2.32	the
urn:cts:TraveLab:BT:en:Adler:token:2.33	river
urn:cts:TraveLab:BT:en:Adler:token:2.34	Dnieper
urn:cts:TraveLab:BT:en:Adler:token:2.35	.
urn:cts:TraveLab:BT:en:Adler:token:3.1	On
urn:cts:TraveLab:BT:en:Adler:token:3.2	the
urn:cts:TraveLab:BT:en:Adler:token:3.3	other
urn:cts:TraveLab:BT:en:Adler:token:3.4	side
urn:cts:TraveLab:BT:en:Adler:token:3.5	of
urn:cts:TraveLab:BT:en:Adler:token:3.6	the
urn:cts:TraveLab:BT:en:Adler:token:3.7	river
urn:cts:TraveLab:BT:en:Adler:token:3.8	he
urn:cts:TraveLab:BT:en:Adler:token:3.9	commenced
urn:cts:TraveLab:BT:en:Adler:token:3.10	his
urn:cts:TraveLab:BT:en:Adler:token:3.11	travels
urn:cts:TraveLab:BT:en:Adler:token:3.12	in
urn:cts:TraveLab:BT:en:Adler:token:3.13	the
urn:cts:TraveLab:BT:en:Adler:token:3.14	land
urn:cts:TraveLab:BT:en:Adler:token:3.15	of
urn:cts:TraveLab:BT:en:Adler:token:3.16	Kedar
urn:cts:TraveLab:BT:en:Adler:token:3.17	.
urn:cts:TraveLab:BT:en:Adler:token:3.18	1
urn:cts:TraveLab:BT:en:Adler:token:4.1	They
urn:cts:TraveLab:BT:en:Adler:token:4.2	have
urn:cts:TraveLab:BT:en:Adler:token:4.3	no
urn:cts:TraveLab:BT:en:Adler:token:4.4	ships
urn:cts:TraveLab:BT:en:Adler:token:4.5	,
urn:cts:TraveLab:BT:en:Adler:token:4.6	but
urn:cts:TraveLab:BT:en:Adler:token:4.7	sew
urn:cts:TraveLab:BT:en:Adler:token:4.8	together
urn:cts:TraveLab:BT:en:Adler:token:4.9	ten
urn:cts:TraveLab:BT:en:Adler:token:4.10	extended
urn:cts:TraveLab:BT:en:Adler:token:4.11	horse
urn:cts:TraveLab:BT:en:Adler:token:4.12	hides
urn:cts:TraveLab:BT:en:Adler:token:4.13	,
urn:cts:TraveLab:BT:en:Adler:token:4.14	and
urn:cts:TraveLab:BT:en:Adler:token:4.15	a
urn:cts:TraveLab:BT:en:Adler:token:4.16	thong
urn:cts:TraveLab:BT:en:Adler:token:4.17	on
urn:cts:TraveLab:BT:en:Adler:token:4.18	the
urn:cts:TraveLab:BT:en:Adler:token:4.19	border
urn:cts:TraveLab:BT:en:Adler:token:4.20	round
urn:cts:TraveLab:BT:en:Adler:token:4.21	;
urn:cts:TraveLab:BT:en:Adler:token:4.22	they
urn:cts:TraveLab:BT:en:Adler:token:4.23	then
urn:cts:TraveLab:BT:en:Adler:token:4.24	seat
urn:cts:TraveLab:BT:en:Adler:token:4.25	themselves
urn:cts:TraveLab:BT:en:Adler:token:4.26	on
urn:cts:TraveLab:BT:en:Adler:token:4.27	the
urn:cts:TraveLab:BT:en:Adler:token:4.28	hides
urn:cts:TraveLab:BT:en:Adler:token:4.29	,
urn:cts:TraveLab:BT:en:Adler:token:4.30	placing
urn:cts:TraveLab:BT:en:Adler:token:4.31	there
urn:cts:TraveLab:BT:en:Adler:token:4.32	also
urn:cts:TraveLab:BT:en:Adler:token:4.33	the
urn:cts:TraveLab:BT:en:Adler:token:4.34	waggons
urn:cts:TraveLab:BT:en:Adler:token:4.35	and
urn:cts:TraveLab:BT:en:Adler:token:4.36	all
urn:cts:TraveLab:BT:en:Adler:token:4.37	luggage
urn:cts:TraveLab:BT:en:Adler:token:4.38	.
urn:cts:TraveLab:BT:en:Adler:token:5.1	They
urn:cts:TraveLab:BT:en:Adler:token:5.2	then
urn:cts:TraveLab:BT:en:Adler:token:5.3	tie
urn:cts:TraveLab:BT:en:Adler:token:5.4	the
urn:cts:TraveLab:BT:en:Adler:token:5.5	thong
urn:cts:TraveLab:BT:en:Adler:token:5.6	,
urn:cts:TraveLab:BT:en:Adler:token:5.7	on
urn:cts:TraveLab:BT:en:Adler:token:5.8	the
urn:cts:TraveLab:BT:en:Adler:token:5.9	border
urn:cts:TraveLab:BT:en:Adler:token:5.10	of
urn:cts:TraveLab:BT:en:Adler:token:5.11	the
urn:cts:TraveLab:BT:en:Adler:token:5.12	hides
urn:cts:TraveLab:BT:en:Adler:token:5.13	,
urn:cts:TraveLab:BT:en:Adler:token:5.14	to
urn:cts:TraveLab:BT:en:Adler:token:5.15	the
urn:cts:TraveLab:BT:en:Adler:token:5.16	tails
urn:cts:TraveLab:BT:en:Adler:token:5.17	of
urn:cts:TraveLab:BT:en:Adler:token:5.18	the
urn:cts:TraveLab:BT:en:Adler:token:5.19	horses
urn:cts:TraveLab:BT:en:Adler:token:5.20	,
urn:cts:TraveLab:BT:en:Adler:token:5.21	which
urn:cts:TraveLab:BT:en:Adler:token:5.22	swim
urn:cts:TraveLab:BT:en:Adler:token:5.23	,
urn:cts:TraveLab:BT:en:Adler:token:5.24	and
urn:cts:TraveLab:BT:en:Adler:token:5.25	thus
urn:cts:TraveLab:BT:en:Adler:token:5.26	they
urn:cts:TraveLab:BT:en:Adler:token:5.27	pass
urn:cts:TraveLab:BT:en:Adler:token:5.28	over
urn:cts:TraveLab:BT:en:Adler:token:5.29	the
urn:cts:TraveLab:BT:en:Adler:token:5.30	water
urn:cts:TraveLab:BT:en:Adler:token:5.31	.
urn:cts:TraveLab:BT:en:Adler:token:6.1	They
urn:cts:TraveLab:BT:en:Adler:token:6.2	eat
urn:cts:TraveLab:BT:en:Adler:token:6.3	no
urn:cts:TraveLab:BT:en:Adler:token:6.4	bread
urn:cts:TraveLab:BT:en:Adler:token:6.5	in
urn:cts:TraveLab:BT:en:Adler:token:6.6	the
urn:cts:TraveLab:BT:en:Adler:token:6.7	land
urn:cts:TraveLab:BT:en:Adler:token:6.8	of
urn:cts:TraveLab:BT:en:Adler:token:6.9	Kedar
urn:cts:TraveLab:BT:en:Adler:token:6.10	,
urn:cts:TraveLab:BT:en:Adler:token:6.11	but
urn:cts:TraveLab:BT:en:Adler:token:6.12	rice
urn:cts:TraveLab:BT:en:Adler:token:6.13	and
urn:cts:TraveLab:BT:en:Adler:token:6.14	millet
urn:cts:TraveLab:BT:en:Adler:token:6.15	boiled
urn:cts:TraveLab:BT:en:Adler:token:6.16	in
